email_text,language,label
尊敬的客户，请确认您的 Google 登录凭据：goo.gl/check,zh,1
感谢您联系 Microsoft 支持团队。,zh,0
您的 Amazon 订阅已成功续订。,zh,0
我们感谢您与 Netflix 的业务。请查看下方收据。,zh,0
Tunakubaliana na biashara yako na PayPal. Angalia kuitisha chini.,sw,0
我们感谢您与 Microsoft 的业务。请查看下方收据。,zh,0
我们感谢您与 Apple 的业务。请查看下方收据。,zh,0
紧急：验证您的 Microsoft 账户。点击此处：payp@l-confirm.tk,zh,1
Ваш аккаунт Apple взломан. Переустановите пароль: tinyurl.com/confirm,ru,1
Welcome to Microsoft! Thank you for signing up with us.,en,0
Срочно: Обновите способ оплаты для Microsoft: g00gle-security.tk,ru,1
"Dear valued customer, please confirm your PayPal login credentials: short.link/secure",en,1
您的 Bank 订阅已成功续订。,zh,0
Мы ценим вашу деятельность с Amazon. См. квитанцию ниже.,ru,0
Спасибо за использование Bank. Вот ваши реквизиты учетной записи.,ru,0
Ваш заказ от Bank отправлен и скоро будет доставлен.,ru,0
Haraka: Thibitisha akaunti yako ya PayPal. Bofya hapa: short.link/secure,sw,1
"Здравствуйте, вот ваш счет от Google за March.",ru,0
"Пожалуйста, подтвердите ваши учетные данные Amazon: am@z0n-verify.ru",ru,1
Akaunti yako ya Bank imehacked. Sasisha neno lako: am@z0n-verify.ru,sw,1
恭喜！您从 Apple 赢得了奖励。立即领取：bit.ly/verify2024,zh,1
Your order from Apple has been shipped and will arrive soon.,en,0
ONYO: Akaunti yako ya Netflix itasimama isipokuwa uthibitishe: bit.ly/verify2024,sw,1
紧急：验证您的 Bank 账户。点击此处：bit.ly/verify2024,zh,1
Your Bank subscription has been renewed successfully.,en,0
Your Apple subscription has been renewed successfully.,en,0
Your Google account has been compromised. Reset password here: tinyurl.com/confirm,en,1
"Здравствуйте, вот ваш счет от Amazon за February.",ru,0
Ваш заказ от Amazon отправлен и скоро будет доставлен.,ru,0
Ваш заказ от Apple отправлен и скоро будет доставлен.,ru,0
Akaunti yako ya Apple imehacked. Sasisha neno lako: payp@l-confirm.tk,sw,1
Welcome to PayPal! Thank you for signing up with us.,en,0
尊敬的客户，请确认您的 Netflix 登录凭据：am@z0n-verify.ru,zh,1
Asante kwa kutumia Bank. Hapa kuna maelezo ya akaunti yako.,sw,0
